d=1024	 lambda=16	 n=2048
1025	 1025	 True
1024	 1024	 False
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1024	 1024	 False
1021	 1021	 False
1022	 1022	 False
1023	 1023	 False
1024	 1024	 False
run=8
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1021	 1021	 False
1023	 1024	 False
1025	 1025	 True
1022	 1022	 False
1020	 1020	 False
1024	 1024	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
1024	 1024	 False
run=9
1024	 1024	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1021	 1021	 False
1022	 1022	 False
1022	 1022	 False
1024	 1024	 False
1022	 1022	 False
1021	 1021	 False
1023	 1023	 False
1020	 1020	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1019	 1019	 False
run=10
1025	 1025	 True
1025	 1025	 True
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1024	 1024	 False
1023	 1023	 False
1022	 1022	 False
1019	 1019	 False
1022	 1022	 False
1024	 1024	 False
1025	 1025	 True
1022	 1022	 False
1022	 1022	 False
1022	 1022	 False
1019	 1020	 False
run=11
1021	 1021	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
1021	 1021	 False
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1021	 1021	 False
1021	 1021	 False
1021	 1021	 False
1022	 1022	 False
1020	 1020	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
run=12
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1018	 1018	 False
1021	 1021	 False
1020	 1020	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
1018	 1018	 False
1023	 1023	 False
run=13
1024	 1024	 False
1024	 1024	 False
1021	 1021	 False
1022	 1022	 False
1020	 1020	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1021	 1020	 False
1024	 1024	 False
1025	 1025	 True
1021	 1021	 False
1024	 1024	 False
1022	 1022	 False
run=14
1019	 1019	 False
1021	 1021	 False
1021	 1021	 False
1021	 1021	 False
1021	 1021	 False
1021	 1021	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
1021	 1021	 False
1024	 1024	 False
1021	 1021	 False
1022	 1022	 False
run=15
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1024	 1024	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1021	 1021	 False
1024	 1024	 False
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
1023	 1023	 False
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
run=16
1023	 1023	 False
1021	 1021	 False
1022	 1022	 False
1023	 1023	 False
1020	 1020	 False
1024	 1024	 False
1023	 1023	 False
1024	 1024	 False
1022	 1022	 False
1020	 1020	 False
1024	 1024	 False
1019	 1019	 False
1022	 1022	 False
1022	 1024	 False
1023	 1023	 False
1023	 1023	 False
run=17
1024	 1024	 False
1023	 1023	 False
1020	 1020	 False
1025	 1025	 True
1022	 1022	 False
1024	 1024	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
1024	 1024	 False
1025	 1025	 True
1022	 1022	 False
1021	 1021	 False
1024	 1024	 False
1022	 1022	 False
1020	 1020	 False
run=18
1021	 1021	 False
1025	 1025	 True
1024	 1024	 False
1023	 1023	 False
1023	 1023	 False
1024	 1024	 False
1022	 1022	 False
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1024	 1024	 False
1024	 1024	 False
1023	 1023	 False
1021	 1021	 False
run=19
1024	 1024	 False
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1022	 1022	 False
1024	 1024	 False
1023	 1023	 False
1025	 1025	 True
1025	 1025	 True
1021	 1021	 False
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
1023	 1023	 False
run=20
1023	 1022	 False
1022	 1022	 False
1024	 1024	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1023	 1022	 False
1024	 1024	 False
1024	 1024	 False
1020	 1020	 False
1023	 1023	 False
1023	 1023	 False
1020	 1020	 False
1021	 1021	 False
1021	 1021	 False
run=21
1022	 1022	 False
1022	 1022	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
1022	 1022	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1021	 1021	 False
1023	 1023	 False
run=22
1024	 1024	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1021	 1021	 False
1024	 1023	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1024	 1024	 False
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
run=23
1024	 1024	 False
1023	 1023	 False
1022	 1022	 False
1019	 1019	 False
1022	 1021	 False
1021	 1021	 False
1023	 1023	 False
1022	 1022	 False
1023	 1024	 False
1024	 1024	 False
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
1020	 1020	 False
1023	 1023	 False
1021	 1021	 False
run=24
1019	 1019	 False
1023	 1023	 False
1024	 1024	 False
1024	 1024	 False
1019	 1019	 False
1024	 1024	 False
1021	 1021	 False
1020	 1020	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1024	 1024	 False
1024	 1024	 False
1025	 1025	 True
1025	 1025	 True
run=25
1023	 1023	 False
1025	 1025	 True
1022	 1022	 False
1020	 1020	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1022	 1022	 False
1021	 1021	 False
1024	 1024	 False
1024	 1024	 False
1024	 1024	 False
1025	 1025	 True
1024	 1024	 False
1024	 1024	 False
run=26
1023	 1023	 False
1022	 1022	 False
1021	 1021	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
1022	 1022	 False
1023	 1023	 False
1024	 1024	 False
1022	 1022	 False
run=27
1022	 1022	 False
1018	 1018	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1021	 1021	 False
1024	 1024	 False
1022	 1022	 False
1022	 1022	 False
1016	 1016	 False
1021	 1021	 False
1021	 1021	 False
1024	 1024	 False
1020	 1020	 False
1021	 1021	 False
1022	 1022	 False
run=28
1022	 1022	 False
1024	 1024	 False
1024	 1024	 False
1023	 1023	 False
1020	 1020	 False
1023	 1023	 False
1023	 1023	 False
1024	 1023	 False
1022	 1022	 False
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1021	 1021	 False
1022	 1022	 False
1024	 1024	 False
1023	 1023	 False
run=29
1021	 1021	 False
1022	 1022	 False
1022	 1022	 False
1022	 1023	 False
1024	 1024	 False
1019	 1019	 False
1024	 1024	 False
1022	 1022	 False
1024	 1025	 False
1021	 1021	 False
1021	 1021	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
1023	 1023	 False
1023	 1023	 False
run=30
1021	 1021	 False
1025	 1025	 True
1024	 1024	 False
1023	 1023	 False
1023	 1023	 False
1023	 1023	 False
1023	 1023	 False
1023	 1022	 False
1020	 1020	 False
1023	 1023	 False
1022	 1022	 False
1021	 1021	 False
1021	 1021	 False
1020	 1020	 False
1023	 1023	 False
1023	 1023	 False
run=31
1022	 1022	 False
1024	 1024	 False
1022	 1022	 False
1024	 1024	 False
1022	 1022	 False
1024	 1024	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1025	 1025	 True
1022	 1022	 False
1024	 1024	 False
1024	 1024	 False
1019	 1019	 False
1023	 1023	 False
1022	 1022	 False
d=1024	 lambda=2	 n=2048
run=0
1025	 1025	 True
1024	 1024	 False
run=1
1023	 1023	 False
1022	 1022	 False
run=2
1023	 1024	 False
1023	 1023	 False
run=3
1022	 1022	 False
1022	 1021	 False
run=4
1023	 1023	 False
1023	 1023	 False
run=5
1025	 1025	 True
1024	 1024	 False
run=6
1025	 1025	 True
1023	 1023	 False
run=7
1022	 1022	 False
1023	 1023	 False
run=8
1025	 1025	 True
1024	 1024	 False
run=9
1023	 1023	 False
1021	 1021	 False
run=10
1023	 1023	 False
1024	 1023	 False
run=11
1023	 1023	 False
1025	 1025	 True
run=12
1023	 1023	 False
1023	 1023	 False
run=13
1022	 1022	 False
1023	 1023	 False
run=14
1023	 1023	 False
1024	 1024	 False
run=15
1024	 1024	 False
1023	 1023	 False
run=16
1023	 1023	 False
1023	 1023	 False
run=17
1023	 1023	 False
1022	 1022	 False
run=18
1024	 1024	 False
1024	 1024	 False
run=19
1023	 1023	 False
1024	 1024	 False
run=20
1023	 1023	 False
1022	 1022	 False
run=21
1024	 1024	 False
1023	 1023	 False
run=22
1024	 1024	 False
1022	 1022	 False
run=23
1024	 1024	 False
1023	 1023	 False
run=24
1023	 1023	 False
1023	 1023	 False
run=25
1022	 1023	 False
1022	 1022	 False
run=26
1023	 1023	 False
1023	 1023	 False
run=27
1024	 1024	 False
1022	 1022	 False
run=28
1024	 1024	 False
1022	 1022	 False
run=29
1025	 1025	 True
1023	 1023	 False
run=30
1022	 1022	 False
1022	 1022	 False
run=31
1022	 1022	 False
1024	 1024	 False
d=45	 lambda=45	 n=2048
run=0
2003	 2003	 False
2002	 2002	 False
2000	 1999	 False
2001	 2001	 False
2000	 2000	 False
2001	 2001	 False
2000	 2000	 False
2001	 2001	 False
2001	 2001	 False
2003	 2003	 False
2001	 2001	 False
2003	 2003	 False
2002	 2002	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
2001	 2000	 False
2003	 2003	 False
2000	 1999	 False
2002	 2002	 False
2001	 2001	 False
2003	 2003	 False
2001	 2000	 False
2000	 2000	 False
2002	 2002	 False
2000	 2000	 False
2001	 2001	 False
2003	 2003	 False
1999	 1999	 False
2003	 2003	 False
2002	 2002	 False
1999	 1999	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
2001	 2001	 False
2002	 2001	 False
2002	 2002	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
2001	 2001	 False
2002	 2002	 False
run=1
1996	 1996	 False
1999	 1999	 False
2002	 2002	 False
2001	 2001	 False
2003	 2003	 False
2000	 2000	 False
2002	 2002	 False
2003	 2003	 False
2002	 2002	 False
2001	 2000	 False
2001	 2001	 False
2003	 2003	 False
2002	 2002	 False
1999	 1999	 False
1998	 1998	 False
2003	 2003	 False
2002	 2002	 False
2000	 2000	 False
2003	 2003	 False
1999	 1999	 False
2003	 2003	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2000	 2000	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2003	 2003	 False
2001	 2001	 False
2003	 2003	 False
1999	 1999	 False
2002	 2002	 False
2002	 2002	 False
1999	 1999	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2000	 1999	 False
run=2
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2003	 2003	 False
2000	 2000	 False
2000	 2000	 False
1999	 1999	 False
2003	 2003	 False
2003	 2003	 False
1995	 1995	 False
2002	 2002	 False
2000	 2000	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
1996	 1996	 False
2001	 2001	 False
2002	 2002	 False
2003	 2003	 False
2002	 2002	 False
2002	 2002	 False
2003	 2002	 False
2001	 2001	 False
2000	 2000	 False
2001	 2001	 False
2003	 2003	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2003	 2003	 False
1999	 1999	 False
2000	 2000	 False
2000	 2000	 False
1999	 1999	 False
1999	 1999	 False
2003	 2003	 False
2000	 2000	 False
2000	 2000	 False
2002	 2002	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2000	 2000	 False
run=3
2002	 2002	 False
2000	 2000	 False
2001	 2001	 False
1998	 1998	 False
2000	 2000	 False
2000	 2000	 False
2003	 2002	 False
2000	 2000	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2000	 2000	 False
2000	 2000	 False
2002	 2001	 False
2001	 2001	 False
2000	 2000	 False
2003	 2003	 False
2002	 2002	 False
2003	 2002	 False
2002	 2002	 False
2002	 2002	 False
2000	 2000	 False
1999	 1999	 False
2002	 2002	 False
2001	 2001	 False
1999	 1999	 False
2001	 2001	 False
2002	 2002	 False
2000	 2000	 False
2002	 2002	 False
2001	 2001	 False
2001	 2000	 False
1998	 1998	 False
2001	 2000	 False
2003	 2003	 False
2002	 2002	 False
2002	 2002	 False
2003	 2003	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
2000	 2000	 False
run=4
2001	 2001	 False
1999	 1999	 False
2000	 2000	 False
2003	 2003	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2003	 2003	 False
2001	 2001	 False
2001	 2000	 False
2000	 2000	 False
2003	 2003	 False
2000	 2000	 False
1999	 1999	 False
2003	 2002	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
1998	 1998	 False
2000	 2000	 False
1999	 1999	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2000	 2000	 False
2003	 2003	 False
2002	 2002	 False
1998	 1998	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2000	 2000	 False
2000	 2000	 False
1999	 1999	 False
2003	 2003	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
run=5
2001	 2000	 False
2000	 2000	 False
2001	 2001	 False
1999	 1999	 False
2000	 2000	 False
2000	 2000	 False
2001	 2001	 False
2002	 2002	 False
1998	 1998	 False
2001	 2001	 False
2000	 2000	 False
2001	 2001	 False
1999	 1998	 False
2001	 2001	 False
2000	 2000	 False
2002	 2002	 False
2000	 2000	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2000	 1999	 False
2003	 2003	 False
2001	 2001	 False
1997	 1997	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2000	 2000	 False
1999	 1999	 False
2002	 2002	 False
2003	 2003	 False
2002	 2002	 False
2001	 2001	 False
2003	 2003	 False
1999	 1999	 False
2000	 2000	 False
2003	 2003	 False
2000	 2000	 False
2000	 2000	 False
2003	 2003	 False
2000	 2000	 False
2002	 2002	 False
1999	 1999	 False
2002	 2002	 False
run=6
2000	 2000	 False
2001	 2001	 False
2003	 2003	 False
1999	 1999	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
1999	 1999	 False
2002	 2002	 False
2003	 2003	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
1999	 1999	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2003	 2003	 False
2001	 2001	 False
1999	 1999	 False
2001	 2001	 False
2002	 2002	 False
1998	 1998	 False
2002	 2002	 False
2001	 2001	 False
2002	 2001	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
1997	 1997	 False
2001	 2001	 False
2002	 2002	 False
1999	 1999	 False
2001	 2001	 False
2000	 2000	 False
2002	 2002	 False
2000	 2000	 False
2002	 2002	 False
2002	 2002	 False
run=7
2000	 2000	 False
2001	 2001	 False
2001	 2001	 False
1999	 1999	 False
2000	 2000	 False
2000	 1999	 False
2003	 2003	 False
2003	 2003	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2003	 2003	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2000	 2000	 False
2002	 2002	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2000	 2000	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
1999	 1999	 False
2002	 2002	 False
2000	 1999	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2000	 2000	 False
2000	 2000	 False
2001	 2001	 False
2001	 2001	 False
1998	 1998	 False
2000	 2000	 False
2001	 2001	 False
2001	 2001	 False
1999	 1999	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
run=8
2002	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2000	 2000	 False
1999	 1999	 False
2000	 2000	 False
2001	 2001	 False
2001	 2001	 False
2000	 2000	 False
2001	 2002	 False
2002	 2001	 False
2000	 1999	 False
2001	 2001	 False
1999	 1999	 False
2001	 2001	 False
2000	 2000	 False
2003	 2003	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2002	 2001	 False
2002	 2002	 False
2000	 2000	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
1999	 1999	 False
2000	 2000	 False
2002	 2002	 False
2000	 2000	 False
2004	 2004	 True
2001	 2001	 False
2002	 2001	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2000	 2000	 False
1999	 1999	 False
run=9
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
1998	 1998	 False
2001	 2001	 False
2000	 2000	 False
2003	 2003	 False
2001	 2001	 False
2000	 2000	 False
2001	 2001	 False
2003	 2003	 False
2002	 2002	 False
2001	 2001	 False
2000	 1999	 False
2003	 2003	 False
2000	 2000	 False
2001	 2001	 False
2001	 2001	 False
2000	 2000	 False
2002	 2002	 False
2002	 2002	 False
1999	 1999	 False
2001	 2001	 False
1999	 1999	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2003	 2003	 False
1999	 1999	 False
2000	 2000	 False
2003	 2003	 False
2001	 2001	 False
1998	 1998	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
2002	 2002	 False
2003	 2003	 False
run=10
2001	 2001	 False
2003	 2003	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2003	 2003	 False
1999	 1999	 False
1998	 1998	 False
2001	 2001	 False
2000	 1999	 False
2001	 2001	 False
2003	 2003	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
1998	 1998	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2003	 2003	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2000	 2000	 False
2000	 2000	 False
1998	 1998	 False
2002	 2002	 False
2001	 2001	 False
2003	 2003	 False
2002	 2002	 False
2003	 2003	 False
2000	 2000	 False
2003	 2003	 False
1999	 1999	 False
run=11
2002	 2002	 False
1997	 1997	 False
2001	 2000	 False
1999	 1999	 False
1999	 1999	 False
2000	 2000	 False
2000	 2000	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2000	 2000	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2003	 2003	 False
2001	 2001	 False
2000	 2000	 False
2002	 2002	 False
2003	 2003	 False
1999	 1999	 False
2001	 2000	 False
2001	 2001	 False
1999	 1999	 False
2001	 2001	 False
2001	 2001	 False
2000	 2000	 False
2002	 2002	 False
1999	 1999	 False
1999	 1999	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2000	 1999	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2000	 2000	 False
2002	 2002	 False
2002	 2002	 False
1997	 1997	 False
2003	 2003	 False
2001	 2001	 False
2001	 2001	 False
run=12
2001	 2001	 False
2003	 2003	 False
2001	 2001	 False
1998	 1998	 False
1999	 1999	 False
1999	 1999	 False
2002	 2002	 False
2001	 2001	 False
2000	 2000	 False
2000	 2000	 False
1997	 1997	 False
2002	 2002	 False
2000	 1999	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
1999	 1999	 False
1999	 1999	 False
2000	 2000	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
1999	 1999	 False
2001	 2001	 False
2000	 2000	 False
2003	 2003	 False
2003	 2003	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
1998	 1998	 False
2002	 2002	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2000	 1999	 False
2000	 2000	 False
2002	 2001	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2000	 2000	 False
2000	 2000	 False
run=13
1999	 1999	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
1999	 1999	 False
2002	 2002	 False
2003	 2003	 False
1999	 1999	 False
2002	 2002	 False
2000	 2000	 False
2002	 2002	 False
2003	 2003	 False
2003	 2003	 False
2001	 2001	 False
2002	 2002	 False
2000	 2000	 False
1998	 1998	 False
2001	 2001	 False
2003	 2003	 False
1996	 1996	 False
2000	 2000	 False
2002	 2002	 False
2002	 2002	 False
2000	 2000	 False
2001	 2001	 False
2001	 2001	 False
2001	 2000	 False
2000	 2000	 False
2000	 2000	 False
2001	 2001	 False
2002	 2002	 False
2000	 2000	 False
1998	 1998	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
1999	 1999	 False
2000	 2000	 False
2003	 2003	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
1999	 1999	 False
2002	 2002	 False
run=14
2002	 2002	 False
2002	 2002	 False
2001	 2000	 False
2002	 2002	 False
2003	 2003	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2003	 2003	 False
2002	 2002	 False
2001	 2001	 False
2003	 2003	 False
2001	 2001	 False
2001	 2001	 False
2000	 1999	 False
2003	 2003	 False
2002	 2002	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2003	 2003	 False
2001	 2000	 False
2002	 2002	 False
2003	 2003	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
2002	 2001	 False
2003	 2003	 False
1999	 1999	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2000	 2000	 False
2002	 2002	 False
run=15
2000	 2000	 False
1998	 1998	 False
2001	 2001	 False
2002	 2002	 False
1998	 1998	 False
2001	 2001	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
1999	 1999	 False
2002	 2002	 False
2000	 1999	 False
2002	 2002	 False
2002	 2002	 False
1999	 1999	 False
2000	 2000	 False
2000	 2000	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
2003	 2003	 False
2001	 2001	 False
2002	 2002	 False
2002	 2001	 False
2000	 2000	 False
2001	 2001	 False
1999	 1999	 False
2002	 2002	 False
2001	 2000	 False
1999	 1999	 False
2001	 2001	 False
2000	 2000	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
2003	 2003	 False
2000	 2000	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
run=16
2002	 2002	 False
2002	 2002	 False
2003	 2003	 False
2000	 2000	 False
1999	 1999	 False
2001	 2001	 False
1999	 1999	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
2001	 2001	 False
1998	 1998	 False
2000	 2000	 False
2001	 2001	 False
2001	 2000	 False
2002	 2002	 False
2001	 2001	 False
2000	 2000	 False
1999	 1999	 False
2003	 2003	 False
2000	 2000	 False
2001	 2001	 False
2002	 2002	 False
2003	 2003	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2000	 2000	 False
2003	 2003	 False
2003	 2003	 False
1998	 1997	 False
2001	 2001	 False
2003	 2003	 False
2001	 2001	 False
1999	 1998	 False
2000	 2000	 False
2002	 2002	 False
1999	 1999	 False
2001	 2001	 False
2003	 2003	 False
1999	 1999	 False
2003	 2003	 False
2000	 2000	 False
run=17
2001	 2001	 False
2001	 2001	 False
2003	 2003	 False
1999	 1999	 False
2002	 2002	 False
2000	 2000	 False
2000	 2000	 False
2002	 2002	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
2001	 2001	 False
2003	 2003	 False
2002	 2002	 False
2001	 2001	 False
2001	 2001	 False
2003	 2003	 False
2001	 2001	 False
2001	 2001	 False
